username,amount,category,description,purchase_type,submit_time,expense_time
elicialzy,5.1,food,dinner,5,2021-06-18 03:26:39,2021-06-18 11:26:28
charczm,55,hobbies,zara!!,2,2021-06-17 15:52:04,2021-06-17 21:00:00
charczm,40,hobbies,nails,3,2021-06-17 15:51:39,2021-06-17 21:00:00
kennise,9.8,hobbies,got kidnapped to watch movie,3,2021-06-17 11:25:53,2021-06-17 19:25:19
lynettecsm,60,Grooming,Waxing,2,2021-06-17 10:55:03,2021-06-17 12:00:00
Bobbyxyy,5,food,Croissants,4,2021-06-17 10:54:10,2021-06-17 18:53:45
kennise,23.9,hobbies,a bag :”),1,2021-06-17 10:49:05,2021-06-17 09:00:00
jazzraph,0.01,transportation,Bus,5,2021-06-17 10:39:44,2021-06-17 18:39:32
jazzraph,40,hobbies,Mahjong,1,2021-06-17 10:08:51,2021-06-17 18:08:30
elicialzy,2,snacks,ice cream,3,2021-06-17 08:10:01,2021-06-17 12:00:00
walnads,5.1,food,Chicken rice n coffee,2,2021-06-17 07:41:17,2021-06-17 12:00:00
jinghsuan,16.05,food,groceries,3,2021-06-17 07:25:41,2021-06-17 12:00:00
cookehh,1.3,food (for happiness!),Green tea,1,2021-06-17 07:08:58,2021-06-17 12:00:00
cookehh,5.8,food (a meal),Chicken rice + Shao rou,4,2021-06-17 07:07:48,2021-06-17 12:00:00
Bobbyxyy,9.6,food (a meal),Lunch and bread,4,2021-06-17 07:07:05,2021-06-17 12:00:00
walnads,3.1,food (a meal),bread n coffee,1,2021-06-17 01:00:49,2021-06-17 09:00:00
effayewhy,268,shopping,clothes,3,2021-06-16 18:50:56,2021-06-17 02:50:23
elicialzy,16,food (a meal),banmianz,5,2021-06-16 18:09:09,2021-06-17 12:00:00
jinghsuan,4,food (a meal),hor fun,5,2021-06-16 17:55:32,2021-06-17 19:00:00
Bobbyxyy,1.7,drinks,Honey black tea,1,2021-06-16 08:29:22,2021-06-16 16:29:07
uhleethea,3,food,chicken rice,4,2021-06-16 05:01:16,2021-06-14 13:16:31
lynettecsm,5,food,salad,4,2021-06-16 04:57:19,2021-06-16 12:56:34
walnads,5,food,Chicken rice,4,2021-06-16 04:57:12,2021-06-16 12:56:39
cookehh,4.6,food,CSSR,4,2021-06-16 04:57:00,2021-06-16 12:56:42
Bobbyxyy,4.95,food,Lunch,5,2021-06-16 04:56:25,2021-06-16 12:56:17
walnads,3,food,bread,5,2021-06-16 02:47:09,2021-06-16 10:46:37
cookehh,1.3,drinks,kopi o kosong peng,3,2021-06-16 02:34:08,2021-06-16 10:33:52
Bobbyxyy,15,Toiletries,None (Leave blank),5,2021-06-15 15:33:42,2021-06-15 23:33:27
Bobbyxyy,200,Accommodation,Hall fee,5,2021-06-15 10:32:28,2021-06-15 18:32:15
lynettecsm,9.5,food,mala,3,2021-06-15 06:55:22,2021-06-15 14:54:02
Bobbyxyy,9.5,food,Lunch,3,2021-06-15 04:48:03,2021-06-15 12:47:57
cookehh,9.5,food,Mala,3,2021-06-15 04:47:06,2021-06-15 12:46:43
erica_sim,7.9,food,lunch,3,2021-06-15 04:37:00,2021-06-15 12:36:30
jazzraph,1,Transport,Bus trip,2,2021-06-15 03:14:57,2021-06-15 11:14:44
jazzraph,3.6,drinks,Coconut water,1,2021-06-15 03:14:27,2021-06-15 11:14:16
Bobbyxyy,15,Tennis,Grips,3,2021-06-14 16:28:33,2021-06-15 00:28:22
cookehh,4.9,food,Char siew shao Rou fan,4,2021-06-14 06:44:30,2021-06-14 14:44:13
